Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
67,65,1161,2,30,0,8,68,0,1
68,67,550,2,69,0,8,68,0,1
60,58,317,6,620,1,151,79,0,1
56,76,299,0,127,1,367,6,0,0
55,48,313,4,241,1,393,14,0,0
60,94,840,0,418,2,239,68,0,1
61,55,1136,0,128,2,378,14,0,0
66,53,79,4,49,3,553,28,0,2
62,58,1117,4,362,4,65,6,0,0
67,103,224,4,170,4,454,32,0,2
59,124,408,4,3,5,59,81,1,1
59,71,1183,4,605,6,64,17,0,0
43,57,18,4,611,6,364,46,1,2
63,66,19,4,611,6,364,49,0,2
43,57,1205,4,611,6,364,6,1,0
62,66,841,4,10,7,486,39,1,2
53,104,684,4,295,8,346,51,0,1
6,38,167,8,378,9,276,2,0,0
40,63,356,2,623,10,216,62,0,1
65,64,1194,4,84,11,139,68,0,1
65,55,1021,2,428,12,185,15,0,0
58,70,940,0,217,12,576,8,0,2
64,55,996,10,544,13,237,31,0,0
68,59,909,0,249,13,285,79,0,1
65,81,265,4,473,13,286,23,0,0
67,51,1295,4,103,14,477,80,0,1
65,62,761,4,12,15,571,53,0,2
57,143,525,6,216,16,603,88,0,2
66,42,425,8,240,17,581,88,0,2
56,64,933,4,437,18,9,19,0,0
37,44,339,4,358,18,59,20,0,0
34,45,1259,4,564,18,59,42,1,0
33,50,1038,4,591,18,59,62,0,1
69,44,475,4,597,18,670,36,0,2
32,40,366,4,60,19,59,14,0,0
32,49,800,4,60,19,59,38,0,0
39,45,1159,4,60,19,59,64,1,1
49,45,292,4,331,19,59,18,1,0
35,58,125,0,623,20,296,52,0,1
44,84,234,2,442,21,292,11,0,0
39,143,361,0,127,21,659,7,0,2
31,57,384,4,206,22,670,11,0,2
56,75,1141,2,416,23,192,60,0,1
60,72,725,2,514,23,192,67,0,1
43,125,531,4,591,23,274,8,0,0
43,79,1179,8,437,23,276,35,0,0
63,61,373,4,35,23,340,82,0,1
42,116,1080,7,484,23,652,59,1,2
62,11,498,2,120,23,670,88,0,2
61,94,1137,2,170,25,175,67,0,1
65,58,23,2,7,24,2,53,0,1
55,60,717,8,295,24,25,85,0,1
69,138,1171,7,153,24,527,5,0,0
55,62,152,8,181,26,319,19,0,0
69,49,58,4,265,27,615,3,0,2
64,74,412,8,180,28,389,61,0,1
69,71,879,0,217,28,453,28,0,0
58,60,1274,4,170,29,611,82,0,2
69,51,574,8,542,30,290,68,0,1
68,69,129,12,596,31,670,68,0,2
1,64,1057,4,517,32,353,79,0,1
68,44,545,6,531,33,670,69,0,2
65,72,150,4,32,34,65,7,0,0
68,69,440,4,249,34,427,51,0,2
63,62,829,2,522,34,487,52,0,2
62,51,52,2,185,34,549,81,0,2
62,58,337,2,495,34,555,41,0,2
48,56,22,2,401,35,415,83,0,1
36,45,634,0,596,36,604,11,0,2
3,80,355,0,33,37,152,55,0,1
64,56,112,4,359,38,32,79,1,1
66,72,1223,4,414,38,670,20,0,2
65,95,1160,0,127,39,660,8,0,2
3,21,690,8,118,40,276,76,0,1
65,57,99,8,614,41,181,75,0,1
51,82,787,8,29,41,387,8,1,0
32,69,174,12,623,41,634,15,0,2
54,90,1086,0,418,42,234,27,0,0
65,54,1110,0,464,43,651,61,0,2
68,43,176,6,300,44,670,37,0,2
66,57,760,0,533,45,85,40,0,0
71,50,605,6,603,46,221,39,0,0
69,54,378,4,295,47,313,9,0,0
57,78,383,4,295,47,388,3,1,0
65,44,360,10,318,48,168,70,0,1
59,74,291,6,291,49,513,70,0,2
64,54,1008,4,172,50,224,6,0,0
48,55,487,4,79,51,635,62,0,2
34,53,712,2,239,52,5,25,0,0
46,40,1279,4,530,52,28,66,0,1
35,31,1152,2,82,52,75,37,0,0
