Year,Length,Title,Actor,Actress,Director,Popularity,Awards
67,65,1161,30,0,8,68,0
68,67,550,69,0,8,68,0
60,58,317,620,1,151,79,0
56,76,299,127,1,367,6,0
55,48,313,241,1,393,14,0
60,94,840,418,2,239,68,0
61,55,1136,128,2,378,14,0
66,53,79,49,3,553,28,0
62,58,1117,362,4,65,6,0
67,103,224,170,4,454,32,0
59,124,408,3,5,59,81,1
59,71,1183,605,6,64,17,0
43,57,18,611,6,364,46,1
63,66,19,611,6,364,49,0
43,57,1205,611,6,364,6,1
62,66,841,10,7,486,39,1
53,104,684,295,8,346,51,0
6,38,167,378,9,276,2,0
40,63,356,623,10,216,62,0
65,64,1194,84,11,139,68,0
65,55,1021,428,12,185,15,0
58,70,940,217,12,576,8,0
64,55,996,544,13,237,31,0
68,59,909,249,13,285,79,0
65,81,265,473,13,286,23,0
67,51,1295,103,14,477,80,0
65,62,761,12,15,571,53,0
57,143,525,216,16,603,88,0
66,42,425,240,17,581,88,0
56,64,933,437,18,9,19,0
37,44,339,358,18,59,20,0
34,45,1259,564,18,59,42,1
33,50,1038,591,18,59,62,0
69,44,475,597,18,670,36,0
32,40,366,60,19,59,14,0
32,49,800,60,19,59,38,0
39,45,1159,60,19,59,64,1
49,45,292,331,19,59,18,1
35,58,125,623,20,296,52,0
44,84,234,442,21,292,11,0
39,143,361,127,21,659,7,0
31,57,384,206,22,670,11,0
56,75,1141,416,23,192,60,0
60,72,725,514,23,192,67,0
43,125,531,591,23,274,8,0
43,79,1179,437,23,276,35,0
63,61,373,35,23,340,82,0
42,116,1080,484,23,652,59,1
62,11,498,120,23,670,88,0
61,94,1137,170,25,175,67,0
65,58,23,7,24,2,53,0
55,60,717,295,24,25,85,0
69,138,1171,153,24,527,5,0
55,62,152,181,26,319,19,0
69,49,58,265,27,615,3,0
64,74,412,180,28,389,61,0
69,71,879,217,28,453,28,0
58,60,1274,170,29,611,82,0
69,51,574,542,30,290,68,0
68,69,129,596,31,670,68,0
1,64,1057,517,32,353,79,0
68,44,545,531,33,670,69,0
65,72,150,32,34,65,7,0
68,69,440,249,34,427,51,0
63,62,829,522,34,487,52,0
62,51,52,185,34,549,81,0
62,58,337,495,34,555,41,0
48,56,22,401,35,415,83,0
36,45,634,596,36,604,11,0
3,80,355,33,37,152,55,0
64,56,112,359,38,32,79,1
66,72,1223,414,38,670,20,0
65,95,1160,127,39,660,8,0
3,21,690,118,40,276,76,0
65,57,99,614,41,181,75,0
51,82,787,29,41,387,8,1
32,69,174,623,41,634,15,0
54,90,1086,418,42,234,27,0
65,54,1110,464,43,651,61,0
68,43,176,300,44,670,37,0
66,57,760,533,45,85,40,0
71,50,605,603,46,221,39,0
69,54,378,295,47,313,9,0
57,78,383,295,47,388,3,1
65,44,360,318,48,168,70,0
59,74,291,291,49,513,70,0
64,54,1008,172,50,224,6,0
48,55,487,79,51,635,62,0
34,53,712,239,52,5,25,0
46,40,1279,530,52,28,66,0
35,31,1152,82,52,75,37,0
36,44,1227,616,52,75,16,0
44,54,8,600,52,82,54,0
45,67,1041,127,52,180,0,0
41,56,275,463,52,240,81,0
42,54,320,426,52,341,71,0
39,88,32,400,52,394,30,0
41,53,953,475,52,436,34,0
35,44,200,332,52,589,70,0
32,44,350,62,52,601,83,0
39,54,672,302,52,613,8,0
34,44,85,334,52,613,29,0
50,41,786,530,52,613,39,0
64,51,1058,99,53,351,48,0
9,46,969,343,54,276,57,0
64,58,686,580,55,537,9,0
59,69,374,621,56,576,8,1
69,55,281,99,57,38,44,0
65,37,797,84,57,56,47,0
66,80,130,440,57,99,14,0
64,49,171,647,57,192,7,0
59,55,781,284,57,270,40,0
69,79,423,241,57,311,50,0
60,88,809,127,57,329,8,0
63,71,823,534,57,389,7,0
66,143,636,146,57,440,71,0
63,62,827,241,57,469,11,0
68,70,740,28,57,496,84,0
67,77,763,100,58,499,48,1
23,47,295,13,59,59,66,0
61,49,1009,271,60,474,36,0
67,55,42,97,60,670,74,0
65,50,1085,266,61,187,52,0
66,57,1219,103,61,670,49,0
65,50,820,278,62,411,0,0
67,81,911,217,63,460,69,0
19,77,955,623,64,169,59,0
49,54,899,437,65,514,55,0
54,56,741,212,66,595,2,0
59,143,239,42,67,670,18,0
67,59,513,163,68,649,88,0
25,53,1028,504,69,353,31,0
22,57,1017,525,69,353,80,0
65,30,302,61,70,215,68,0
62,11,991,95,71,670,79,0
59,124,468,349,72,25,7,1
52,74,1263,127,72,427,2,0
48,50,231,440,72,451,10,0
47,80,478,254,72,526,83,0
49,44,1016,5,73,635,55,0
12,29,282,1,74,1,72,0
55,51,109,59,74,59,49,1
21,68,472,75,74,153,25,1
35,54,592,257,74,183,1,0
18,29,1233,564,74,191,32,0
25,54,616,203,74,209,7,0
59,127,35,36,74,232,15,1
46,52,34,496,74,248,2,0
26,71,1207,136,74,276,74,0
23,55,835,257,74,276,42,0
17,44,629,638,74,372,14,0
38,74,500,475,74,374,6,0
33,60,84,593,74,374,24,1
22,80,137,142,74,418,31,0
14,45,597,195,74,434,32,0
15,58,36,588,74,434,49,0
12,44,1129,630,74,434,88,0
16,41,852,1,74,435,26,0
15,28,354,539,74,435,19,0
33,52,382,204,74,503,33,0
29,64,395,351,74,517,34,0
