Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
68,71,1486,2,33,0,8,68,0,1.0
69,73,680,2,74,0,8,68,0,1.0
61,64,389,6,713,1,158,79,0,2.0
57,82,362,0,137,1,404,6,0,0.0
56,54,383,4,266,1,435,14,0,0.0
61,100,1075,0,481,2,254,68,0,2.0
62,61,1448,0,138,2,416,14,0,2.0
67,59,88,4,53,3,624,28,0,2.0
63,64,1424,4,409,4,65,6,0,2.0
68,109,264,4,184,4,506,32,0,0.0
60,135,503,4,4,5,59,81,1,0.0
60,77,1515,4,695,6,64,17,0,2.0
44,63,19,4,701,6,398,46,1,0.0
64,72,20,4,701,6,398,49,0,2.0
44,63,1540,4,701,6,398,6,1,0.0
63,72,1077,4,12,7,548,39,1,2.0
54,110,875,4,329,8,380,51,0,0.0
7,44,196,8,428,9,299,2,0,0.0
41,69,435,2,720,10,229,62,0,1.0
66,70,1527,4,91,11,146,68,0,2.0
66,61,1310,2,493,12,196,15,0,2.0
59,76,1201,0,237,12,651,8,0,0.0
65,61,1275,10,626,13,252,31,0,2.0
69,65,1165,0,275,13,308,79,0,2.0
66,87,318,4,544,13,309,23,0,2.0
68,57,1653,4,110,14,538,80,0,2.0
66,68,968,4,14,15,644,53,0,2.0
58,161,650,6,236,16,687,88,0,0.0
67,48,526,8,265,17,656,88,0,2.0
57,70,1193,4,507,18,9,19,0,1.0
38,50,416,4,404,18,59,20,0,1.0
35,51,1607,4,647,18,59,42,1,1.0
34,56,1333,4,676,18,59,62,0,1.0
70,50,589,4,687,18,759,36,0,2.0
33,46,446,4,65,19,59,14,0,1.0
33,55,1026,4,65,19,59,38,0,1.0
40,51,1481,4,65,19,59,64,1,1.0
50,51,352,4,369,19,59,18,1,1.0
36,64,148,0,720,20,322,52,0,0.0
45,90,275,2,512,21,317,11,0,0.0
40,161,441,0,137,21,748,7,0,0.0
32,63,470,4,224,22,759,11,0,0.0
57,81,1453,2,479,23,204,60,0,1.0
61,78,923,2,590,23,204,67,0,2.0
44,136,658,4,676,23,297,8,0,0.0
44,85,1511,8,507,23,299,35,0,0.0
64,67,454,4,38,23,374,82,0,2.0
43,125,1380,7,557,23,741,59,1,0.0
63,16,613,2,129,23,759,88,0,2.0
62,100,1449,2,184,25,185,67,0,2.0
66,64,26,2,9,24,2,53,0,1.0
56,66,912,8,329,24,25,85,0,0.0
70,156,1501,7,166,24,596,5,0,0.0
56,68,181,8,196,26,349,19,0,0.0
70,55,64,4,293,27,700,3,0,2.0
65,80,507,8,195,28,429,61,0,2.0
70,77,1127,0,237,28,505,28,0,2.0
59,66,1626,4,184,29,696,82,0,2.0
70,57,714,8,623,30,314,68,0,2.0
69,75,152,12,686,31,759,68,0,2.0
2,70,1355,4,595,32,387,79,0,1.0
69,50,675,6,611,33,759,69,0,2.0
66,78,179,4,35,34,65,7,0,2.0
69,75,543,4,275,34,472,51,0,2.0
64,68,1063,2,601,34,549,52,0,2.0
63,57,57,2,200,34,620,81,0,2.0
63,64,413,2,569,34,626,41,0,2.0
49,62,25,2,460,35,457,83,0,0.0
37,51,809,0,686,36,688,11,0,0.0
4,86,434,0,36,37,159,55,0,0.0
65,62,132,4,405,38,32,79,1,2.0
67,78,1564,4,477,38,759,20,0,2.0
66,101,1483,0,137,39,749,8,0,2.0
4,26,884,8,127,40,299,76,0,0.0
66,63,116,8,704,41,192,75,0,2.0
52,88,1008,8,32,41,427,8,1,0.0
33,75,204,12,720,41,722,15,0,0.0
55,96,1389,0,481,42,249,27,0,0.0
66,60,1415,0,535,43,740,61,0,2.0
69,49,208,6,334,44,759,37,0,2.0
67,63,965,0,614,45,86,40,0,2.0
72,56,758,6,693,46,236,39,0,2.0
70,60,463,4,329,47,343,9,0,2.0
58,84,469,4,329,47,428,3,1,0.0
66,50,440,10,353,48,177,70,0,2.0
60,80,351,6,325,49,582,70,0,2.0
65,60,1291,4,186,50,239,6,0,2.0
