fixed acidity,citric acid,chlorides,type
31,36,34,1
23,34,38,1
43,40,39,1
34,32,47,1
34,32,47,1
43,40,39,1
22,16,34,1
31,36,34,1
23,34,38,1
43,43,33,1
43,41,22,1
48,40,24,1
41,37,29,1
27,40,33,1
45,62,29,1
27,38,21,1
23,4,35,1
22,48,18,1
36,42,22,1
26,14,33,1
22,48,18,1
24,38,27,1
29,42,38,1
38,14,63,1
27,41,41,1
31,32,35,1
30,35,41,1
31,39,40,1
36,48,36,1
34,36,22,1
47,39,33,1
45,34,31,1
36,36,39,1
22,34,34,1
17,20,33,1
35,43,69,1
26,23,40,1
31,32,42,1
35,39,46,1
35,39,46,1
28,39,150,1
28,39,151,1
31,26,58,1
27,27,46,1
28,26,49,1
36,31,47,1
22,26,52,1
22,25,55,1
31,26,58,1
30,35,56,1
34,31,51,1
27,29,57,1
22,33,46,1
24,35,34,1
29,59,130,1
30,35,28,1
34,34,32,1
19,26,37,1
27,15,33,1
36,36,27,1
29,24,81,1
19,26,37,1
31,7,24,1
27,15,33,1
34,27,27,1
22,3,53,1
24,24,29,1
28,13,30,1
28,31,35,1
36,29,39,1
22,43,45,1
29,23,50,1
19,28,52,1
48,46,43,1
28,31,35,1
36,29,39,1
32,36,32,1
31,34,31,1
36,30,53,1
28,28,49,1
29,31,42,1
32,34,39,1
32,20,52,1
35,30,36,1
32,61,34,1
32,62,33,1
34,63,33,1
29,31,39,1
32,61,34,1
32,62,33,1
34,63,33,1
20,43,38,1
30,33,24,1
30,33,23,1
37,32,29,1
32,29,33,1
19,66,35,1
48,36,23,1
60,46,27,1
19,66,35,1
36,37,49,1
32,32,43,1
19,24,39,1
37,40,48,1
36,37,49,1
35,32,40,1
32,32,43,1
32,35,29,1
32,35,29,1
30,28,40,1
26,54,71,1
34,46,41,1
34,50,45,1
28,34,38,1
28,34,38,1
14,0,54,1
19,24,30,1
31,40,24,1
34,50,45,1
35,48,49,1
18,4,35,1
40,32,43,1
36,31,48,1
30,28,47,1
24,47,81,1
28,36,15,1
36,23,22,1
26,32,27,1
20,56,33,1
20,56,35,1
16,25,9,1
26,32,27,1
26,40,27,1
27,27,24,1
29,22,23,1
28,31,25,1
44,40,16,1
32,67,34,1
29,36,24,1
43,39,18,1
23,34,34,1
32,67,34,1
41,40,28,1
47,41,25,1
43,40,26,1
23,37,29,1
15,27,33,1
24,14,47,1
23,33,23,1
30,30,43,1
41,38,32,1
38,46,44,1
30,30,43,1
34,41,37,1
44,40,38,1
36,42,55,1
36,42,55,1
20,24,25,1
11,4,25,1
11,4,25,1
20,24,25,1
24,56,44,1
23,30,38,1
36,42,55,1
28,35,39,1
31,36,40,1
46,46,37,1
28,18,23,1
37,31,44,1
60,48,23,1
32,46,55,1
41,45,34,1
38,37,26,1
23,43,27,1
37,31,40,1
30,40,29,1
34,47,33,1
18,30,43,1
19,7,49,1
24,32,38,1
24,31,37,1
32,15,42,1
29,40,37,1
30,40,39,1
29,56,32,1
29,56,32,1
28,41,29,1
18,23,27,1
29,35,23,1
26,28,36,1
27,28,41,1
29,40,37,1
29,36,34,1
27,34,44,1
24,44,164,1
24,45,163,1
24,44,163,1
29,24,41,1
32,24,39,1
29,24,41,1
29,26,38,1
32,24,39,1
30,32,39,1
29,34,23,1
17,35,42,1
24,50,31,1
31,32,34,1
64,83,38,1
29,29,29,1
20,31,37,1
15,25,21,1
29,38,27,1
31,32,34,1
28,29,40,1
22,25,19,1
17,24,33,1
37,36,25,1
17,24,33,1
16,24,33,1
37,36,25,1
37,36,25,1
34,21,59,1
22,25,19,1
26,30,32,1
23,22,35,1
32,41,35,1
24,32,37,1
32,32,30,1
24,32,37,1
32,41,35,1
29,8,51,1
45,40,30,1
44,39,28,1
34,38,47,1
34,38,47,1
34,38,47,1
34,38,47,1
29,32,33,1
31,59,26,1
22,21,28,1
35,23,39,1
39,26,20,1
32,37,15,1
29,34,36,1
30,56,32,1
20,36,27,1
29,27,19,1
17,27,20,1
15,26,19,1
20,14,26,1
18,28,42,1
47,21,63,1
30,56,32,1
17,44,18,1
17,39,43,1
28,39,29,1
23,30,24,1
23,30,24,1
24,39,21,1
17,38,26,1
30,35,37,1
30,40,32,1
30,40,25,1
34,40,34,1
22,35,27,1
30,40,32,1
30,26,42,1
12,7,32,1
12,7,33,1
13,7,34,1
30,26,42,1
11,7,33,1
17,26,40,1
27,30,46,1
31,54,35,1
27,41,35,1
28,41,33,1
39,40,31,1
29,34,33,1
31,49,25,1
31,36,23,1
20,58,28,1
29,37,36,1
28,30,43,1
32,24,44,1
35,25,45,1
26,33,42,1
34,39,47,1
34,39,47,1
34,39,47,1
34,39,47,1
18,31,30,1
36,42,55,1
22,22,30,1
53,38,55,1
23,27,35,1
45,70,34,1
34,46,30,1
37,44,35,1
28,50,32,1
20,0,52,1
45,35,39,1
20,0,52,1
19,21,44,1
35,24,46,1
35,24,46,1
34,24,47,1
35,24,47,1
22,27,25,1
22,26,26,1
20,27,24,1
9,14,21,1
40,41,31,1
16,21,27,1
17,21,29,1
29,60,119,1
29,34,20,1
27,35,20,1
18,47,19,1
20,25,29,1
19,24,30,1
27,35,20,1
29,34,20,1
29,44,20,1
45,51,35,1
37,31,46,1
41,41,29,1
24,23,28,1
26,35,31,1
34,41,25,1
24,35,19,1
29,34,21,1
23,30,22,1
26,34,27,1
15,26,20,1
23,30,22,1
23,33,25,1
17,27,34,1
18,40,36,1
27,35,38,1
36,43,34,1
42,36,36,1
24,42,33,1
13,47,42,1
13,47,41,1
32,33,39,1
15,10,20,1
28,41,45,1
40,46,41,1
38,45,43,1
23,36,33,1
35,40,27,1
14,30,60,1
35,40,27,1
17,42,36,1
35,37,52,1
35,37,52,1
20,33,39,1
62,39,39,1
30,34,29,1
24,32,36,1
32,14,44,1
29,30,39,1
35,37,52,1
29,40,26,1
19,32,17,1
19,27,78,1
30,21,42,1
39,48,38,1
32,35,33,1
30,21,42,1
39,48,38,1
27,19,37,1
34,27,37,1
10,22,16,1
10,22,16,1
24,28,26,1
35,44,34,1
16,50,38,1
24,28,26,1
35,44,34,1
34,26,35,1
37,28,40,1
34,27,37,1
19,39,16,1
10,22,16,1
9,56,15,1
23,35,29,1
28,32,36,1
31,38,21,1
31,38,21,1
26,32,20,1
20,15,20,1
35,43,10,1
29,51,33,1
29,12,29,1
44,42,20,1
23,40,26,1
18,27,37,1
24,42,21,1
23,40,26,1
29,51,33,1
20,7,58,1
32,31,35,1
29,31,24,1
29,12,29,1
17,34,20,1
30,24,38,1
23,39,33,1
44,42,20,1
34,39,27,1
35,36,29,1
34,39,25,1
34,39,25,1
34,39,27,1
35,36,29,1
36,27,30,1
29,22,36,1
36,27,30,1
36,28,39,1
31,31,19,1
31,28,34,1
31,28,34,1
31,28,34,1
30,38,36,1
31,28,34,1
31,28,34,1
29,50,42,1
40,27,40,1
32,47,45,1
29,50,42,1
24,10,37,1
36,34,34,1
34,9,97,1
31,36,17,1
30,37,16,1
20,32,31,1
27,32,24,1
36,34,34,1
22,4,49,1
28,37,17,1
20,20,22,1
19,28,15,1
27,44,37,1
30,36,20,1
32,32,27,1
17,27,43,1
26,24,37,1
26,24,37,1
24,29,41,1
34,20,59,1
20,25,27,1
18,14,31,1
19,27,35,1
24,29,41,1
24,24,37,1
23,31,11,1
32,27,45,1
19,32,42,1
20,35,48,1
32,27,45,1
31,29,36,1
18,19,36,1
29,21,33,1
34,62,36,1
23,58,70,1
31,32,28,1
29,21,33,1
34,62,36,1
34,53,36,1
48,70,28,1
26,34,25,1
27,29,12,1
31,31,23,1
14,22,19,1
31,51,18,1
36,36,17,1
31,28,26,1
32,13,62,1
23,33,30,1
28,34,32,1
18,41,36,1
17,24,33,1
28,34,32,1
22,30,198,1
22,38,17,1
19,37,14,1
27,28,24,1
36,29,34,1
36,31,36,1
31,36,24,1
32,39,21,1
40,26,28,1
23,28,11,1
29,38,29,1
16,13,14,1
34,62,30,1
29,32,15,1
16,34,29,1
34,62,30,1
34,54,34,1
29,58,27,1
24,30,27,1
26,29,26,1
40,31,42,1
