type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster
1,22,27,35,172,29,44,151,365,17,19,4,3,0.0
1,33,27,40,10,17,8,49,53,16,30,45,2,0.0
1,14,80,47,6,13,27,59,8,50,13,55,5,0.0
1,37,22,38,105,28,18,123,295,37,27,18,3,1.0
1,19,20,38,24,101,64,139,140,28,10,10,3,2.0
1,24,14,30,12,46,30,153,85,52,18,39,3,0.0
1,20,18,23,51,76,28,105,189,20,20,2,3,0.0
1,14,27,42,83,40,47,200,216,27,25,6,3,0.0
1,20,18,30,9,37,33,96,123,56,51,25,3,0.0
1,24,44,61,110,28,56,137,295,26,18,3,3,2.0
1,26,24,36,131,44,52,169,299,17,18,7,2,2.0
1,17,11,53,89,66,65,145,233,6,13,4,3,2.0
1,11,39,4,60,30,19,69,133,39,25,21,2,2.0
1,9,26,24,105,4,4,44,153,56,11,25,2,2.0
1,15,32,33,20,29,18,61,116,47,17,21,2,0.0
1,31,18,37,85,27,45,133,133,29,6,37,4,2.0
1,13,33,23,11,20,37,106,22,46,16,50,4,0.0
1,23,31,45,11,50,27,114,48,29,28,53,3,2.0
1,16,35,30,59,32,41,153,189,36,40,9,3,0.0
1,18,28,27,89,36,56,182,241,26,29,5,3,0.0
1,20,27,25,158,33,56,173,328,32,24,9,2,2.0
1,8,23,24,98,16,9,54,153,48,8,24,2,0.0
1,27,27,35,75,20,44,146,148,20,7,30,2,0.0
1,20,76,7,98,46,24,123,288,54,20,5,1,2.0
1,25,33,22,133,34,49,174,329,37,20,3,2,2.0
1,11,17,27,48,37,39,175,253,81,44,18,1,0.0
1,21,4,34,58,32,35,90,148,49,16,21,3,2.0
1,21,33,25,88,37,31,160,258,42,25,8,3,2.0
1,22,22,35,28,18,20,94,26,36,12,52,5,0.0
1,24,20,38,139,42,49,169,308,15,22,6,4,2.0
1,13,47,0,12,47,35,69,72,44,41,28,3,2.0
1,13,39,26,19,19,14,82,85,57,45,37,4,2.0
1,12,1,23,4,25,12,51,116,77,35,22,4,2.0
1,16,33,34,50,14,33,83,64,53,34,51,5,2.0
1,26,15,42,83,29,25,134,253,36,29,6,4,2.0
1,15,5,35,19,28,46,127,72,44,48,35,4,2.0
1,16,22,31,147,31,55,143,270,45,24,21,3,0.0
1,21,35,20,3,37,38,129,116,29,19,10,3,0.0
1,25,15,43,9,29,19,80,106,32,20,18,4,2.0
1,22,31,37,147,16,61,161,323,35,35,9,4,2.0
1,15,15,39,11,21,34,89,85,63,24,35,3,2.0
1,24,24,38,169,22,41,136,356,14,21,6,3,2.0
1,22,18,30,27,14,40,117,22,33,11,53,4,2.0
1,20,30,49,130,37,47,171,295,26,19,10,2,0.0
1,19,18,36,12,12,22,84,67,46,33,38,4,0.0
1,24,69,19,101,54,19,154,283,20,28,7,2,2.0
1,23,17,26,90,40,24,93,216,12,26,11,2,2.0
1,38,41,67,120,23,19,139,323,17,47,9,3,0.0
1,19,54,33,92,27,30,152,253,39,34,8,2,2.0
1,22,28,35,3,19,5,55,24,26,20,46,3,1.0
1,24,28,53,160,29,55,176,341,25,23,11,3,1.0
1,19,27,11,7,25,63,119,98,38,16,18,3,1.0
1,31,14,25,19,23,5,124,159,22,48,16,2,1.0
1,16,1,34,51,32,30,85,174,60,53,14,3,1.0
1,19,32,30,101,24,7,155,201,63,29,35,1,1.0
1,22,31,50,132,34,39,150,301,24,26,13,4,1.0
1,19,17,41,94,33,30,131,201,29,48,17,4,1.0
1,26,47,64,109,35,73,171,301,22,20,3,2,1.0
1,26,47,64,109,35,73,171,301,22,20,3,2,1.0
1,23,32,49,142,43,3,129,323,11,18,7,2,1.0
1,19,31,34,9,102,35,141,140,28,28,10,3,1.0
1,17,39,27,32,21,27,101,53,42,39,50,5,1.0
1,17,53,40,161,68,60,192,345,35,32,6,2,1.0
1,22,20,41,166,34,34,125,356,39,16,4,2,1.0
1,8,21,28,6,31,32,109,60,51,24,30,4,1.0
1,23,26,33,141,51,34,166,333,24,27,7,4,
1,23,28,25,16,33,9,68,133,32,12,10,2,
1,30,48,25,95,42,33,175,288,31,29,9,3,
1,19,28,13,9,27,65,140,96,34,13,18,2,
1,21,15,33,16,27,23,117,136,48,34,20,1,
1,36,46,67,129,26,27,174,311,23,38,14,2,
1,13,24,23,119,30,51,152,311,52,19,11,2,
1,18,30,43,93,37,63,158,271,19,19,5,2,
1,17,20,32,134,26,23,120,275,52,30,23,3,
1,21,44,39,48,6,2,11,77,48,11,52,0,
1,24,30,39,81,8,57,157,120,21,6,37,3,
1,21,12,37,86,33,43,156,226,47,28,16,3,
1,20,5,30,55,29,27,102,159,58,20,16,4,
1,12,45,0,9,26,4,43,69,54,12,33,1,
1,29,36,27,110,24,30,99,318,44,3,8,3,
1,30,27,57,112,20,43,142,302,23,15,5,3,
